"bank_id","species","common_name"
5845,"Acantharchus pomotis","Mud Sunfish"
4045,"Acantharchus pomotis","Mud Sunfish"
5271,"Acantharchus pomotis","Mud Sunfish"
4046,"Acantharchus pomotis","Mud Sunfish"
4047,"Acantharchus pomotis","Mud Sunfish"
4055,"Acantharchus pomotis","Mud Sunfish"
4057,"Acantharchus pomotis","Mud Sunfish"
4058,"Acantharchus pomotis","Mud Sunfish"
4059,"Acantharchus pomotis","Mud Sunfish"
4061,"Acantharchus pomotis","Mud Sunfish"
4062,"Acantharchus pomotis","Mud Sunfish"
4575,"Acantharchus pomotis","Mud Sunfish"
5331,"Acantharchus pomotis","Mud Sunfish"
5405,"Acantharchus pomotis","Mud Sunfish"
4070,"Acantharchus pomotis","Mud Sunfish"
4071,"Acantharchus pomotis","Mud Sunfish"
4072,"Acantharchus pomotis","Mud Sunfish"
4073,"Acantharchus pomotis","Mud Sunfish"
7274,"Acantharchus pomotis","Mud Sunfish"
4074,"Acantharchus pomotis","Mud Sunfish"
4075,"Acantharchus pomotis","Mud Sunfish"
4076,"Acantharchus pomotis","Mud Sunfish"
4077,"Acantharchus pomotis","Mud Sunfish"
4425,"Acantharchus pomotis","Mud Sunfish"
4078,"Acantharchus pomotis","Mud Sunfish"
4079,"Acantharchus pomotis","Mud Sunfish"
4080,"Acantharchus pomotis","Mud Sunfish"
4081,"Acantharchus pomotis","Mud Sunfish"
4082,"Acantharchus pomotis","Mud Sunfish"
4083,"Acantharchus pomotis","Mud Sunfish"
4084,"Acantharchus pomotis","Mud Sunfish"
4085,"Acantharchus pomotis","Mud Sunfish"
4086,"Acantharchus pomotis","Mud Sunfish"
4633,"Acantharchus pomotis","Mud Sunfish"
4091,"Acantharchus pomotis","Mud Sunfish"
6546,"Acantharchus pomotis","Mud Sunfish"
4097,"Acantharchus pomotis","Mud Sunfish"
4105,"Acantharchus pomotis","Mud Sunfish"
4134,"Acantharchus pomotis","Mud Sunfish"
4114,"Acantharchus pomotis","Mud Sunfish"
4120,"Acantharchus pomotis","Mud Sunfish"
4122,"Acantharchus pomotis","Mud Sunfish"
4123,"Acantharchus pomotis","Mud Sunfish"
4125,"Acantharchus pomotis","Mud Sunfish"
4441,"Acantharchus pomotis","Mud Sunfish"
7277,"Acantharchus pomotis","Mud Sunfish"
4144,"Acantharchus pomotis","Mud Sunfish"
4145,"Acantharchus pomotis","Mud Sunfish"
4146,"Acantharchus pomotis","Mud Sunfish"
4148,"Acantharchus pomotis","Mud Sunfish"
4153,"Acantharchus pomotis","Mud Sunfish"
4154,"Acantharchus pomotis","Mud Sunfish"
4156,"Acantharchus pomotis","Mud Sunfish"
4158,"Acantharchus pomotis","Mud Sunfish"
4159,"Acantharchus pomotis","Mud Sunfish"
4160,"Acantharchus pomotis","Mud Sunfish"
3022,"Acantharchus pomotis","Mud Sunfish"
602,"Acantharchus pomotis","Mud Sunfish"
575,"Acantharchus pomotis","Mud Sunfish"
4536,"Acantharchus pomotis","Mud Sunfish"
2250,"Acantharchus pomotis","Mud Sunfish"
5120,"Acantharchus pomotis","Mud Sunfish"
4317,"Acantharchus pomotis","Mud Sunfish"
6567,"Acantharchus pomotis","Mud Sunfish"
5010,"Acantharchus pomotis","Mud Sunfish"
1933,"Acantharchus pomotis","Mud Sunfish"
4411,"Acantharchus pomotis","Mud Sunfish"
692,"Acantharchus pomotis","Mud Sunfish"
6109,"Acantharchus pomotis","Mud Sunfish"
485,"Acantharchus pomotis","Mud Sunfish"
6538,"Acantharchus pomotis","Mud Sunfish"
473,"Acantharchus pomotis","Mud Sunfish"
6749,"Acantharchus pomotis","Mud Sunfish"
474,"Acantharchus pomotis","Mud Sunfish"
3061,"Acantharchus pomotis","Mud Sunfish"
5769,"Acantharchus pomotis","Mud Sunfish"
