bank_id,centroid
6936,"c(-83.634366, 37.728275)"
6917,"c(-84.810783, 38.997338)"
3175,"c(-83.2818903343834, 38.3816039545742)"
3109,"c(-86.1212761255704, 37.8385120404396)"
3174,"c(-84.9045268684052, 38.4447567426423)"
6908,"c(-86.695176, 37.288095)"
6942,"c(-84.071655, 37.58883)"
6910,"c(-84.7168327289659, 38.4191664601994)"
4309,"c(-84.71315, 38.42123)"
6915,"c(-83.56686, 38.251854)"
3009,"c(-84.547051879553, 38.3224921169283)"
6932,"c(-85.5480147168724, 37.526106745218)"
6933,"c(-85.550498, 37.542736)"
6938,"c(-83.838305, 37.61188)"
6939,"c(-83.839285, 37.608148)"
4307,"c(-83.860812574474, 37.6070850318674)"
6919,"c(-84.372059, 39.037589)"
6924,"c(-84.8263, 39.0913)"
6944,"c(-83.374041, 38.223443)"
3646,"c(-83.206773729008, 38.1556795834026)"
6898,"c(-83.246611, 38.38644)"
6895,"c(-83.255736, 38.389568)"
6897,"c(-83.007314, 38.349575)"
6916,"c(-84.793159, 38.832561)"
6896,"c(-82.768452, 37.437903)"
6920,"c(-84.8500939895517, 39.0172341947808)"
6887,"c(-85.5480194892254, 37.5261139043319)"
6922,"c(-84.752763, 38.946587)"
6902,"c(-87.7065, 37.3722)"
3108,"c(-82.963946316492, 38.570619951211)"
3103,"c(-82.6002457415265, 38.330327695992)"
3110,"c(-85.7801758876188, 38.0920765524443)"
4308,"c(-83.1677, 38.12856)"
3158,"c(-84.7625033438453, 38.8950703775681)"
3003,"c(-84.5663842606893, 38.9949481705274)"
3068,"c(-84.4707072453271, 39.064513855758)"
5577,"c(-84.719064, 38.967095)"
5307,"c(-84.710285, 39.027195)"
7022,"c(-84.793722, 38.848361)"
3154,"c(-83.9823974548129, 38.3286760586282)"
3311,"c(-84.5018929842828, 39.0355890114369)"
3069,"c(-84.5918078992927, 38.7629831265403)"
3153,"c(-83.732946196061, 38.6188541863338)"
5576,"c(-84.372007, 39.034353)"
3155,"c(-84.9732629949833, 38.7428118814382)"
6885,"c(-85.544644, 37.52636)"
7247,"c(-84.812264, 38.998067)"
7248,"c(-84.814417, 38.99825)"
2314,"c(-71.3878015252933, 43.0950986218984)"
1721,"c(-71.5934000340982, 43.3063965498321)"
2313,"c(-71.7783133656367, 42.9606969184294)"
2262,"c(-68.6957774161677, 45.0565777059707)"
2271,"c(-68.6345464828598, 44.872286350983)"
2263,"c(-69.7492456620389, 43.9219395638737)"
1794,"c(-69.1798510205927, 44.0019284016256)"
1795,"c(-69.7203241243811, 43.9686182402163)"
5326,"c(-77.623817, 38.673398)"
3375,"c(-80.2015640027244, 33.193909753264)"
5696,"c(-84.4397850143403, 35.7970461190532)"
4381,"c(-80.2992989915794, 32.785105676445)"
5291,"c(-121.806289944731, 37.7594472630159)"
460,"c(-83.41055, 31.06392)"
6687,"c(-77.746268038178, 37.2740611733417)"
6633,"c(-86.2722670299172, 36.0842515236284)"
5826,"c(-90.6804376884652, 29.5310519481552)"
4640,"c(-90.6820272443619, 29.5095213894908)"
4346,"c(-91.4046683923093, 41.8348177313308)"
550,"c(-77.6418954570674, 38.6439032497534)"
3408,"c(-83.05123, 40.19045)"
2593,"c(-84.637111, 34.083486)"
1816,"c(-92.622, 31.435)"
2424,"c(-92.6332, 31.41)"
4693,"c(-88.3719065779076, 35.4799441770872)"
4849,"c(-92.32805, 34.65632)"
989,"c(-85.3148283363459, 40.0553693768477)"
6734,"c(-87.02463, 36.552841)"
2687,"c(-83.060308820438, 34.0220785887817)"
1710,"c(-76.5278472900391, 36.949649810791)"
5142,"c(-92.6467626015989, 40.3542291406264)"
5379,"c(-156.509503, 71.274042)"
7265,"c(-81.649669, 27.664644)"
2441,"c(-80.9151873788767, 35.2605997184069)"
2445,"c(-80.813667, 35.192334)"
4844,"c(-80.808156, 35.207044)"
3093,"c(-80.7412975138803, 35.1796412592615)"
3546,"c(-80.910503, 35.181676)"
2443,"c(-80.939542, 35.292394)"
2051,"c(-80.857099, 35.198996)"
1053,"c(-80.7683915971089, 35.2055762671232)"
2440,"c(-80.8803469719382, 35.2039743890892)"
7090,"c(-80.837148, 35.130342)"
2436,"c(-80.747433, 35.246672)"
6097,"c(-80.8682, 35.3437)"
3075,"c(-80.9168596150509, 35.4050860011189)"
4843,"c(-80.8864494862609, 35.420049407769)"
2442,"c(-80.8554133176372, 35.4280173049156)"
2439,"c(-80.752258, 35.196308)"
6407,"c(-80.7408366607807, 35.2894355082904)"
3547,"c(-80.712057, 35.263559)"
3088,"c(-80.7126297012757, 35.2003310155156)"
2444,"c(-80.877499, 35.402459)"
2438,"c(-80.712663, 35.200775)"
2446,"c(-80.7624017088319, 35.3562361430973)"
6788,"c(-90.5261935326979, 30.0933329068972)"
6006,"c(-82.600992, 28.588119)"
2168,"c(-81.29121, 31.98702)"
4402,"c(-79.4041244072892, 36.0128839810997)"
461,"c(-84.64165, 33.61252)"
1241,"c(-85.3433946392285, 34.6014429243126)"
302,"c(-89.7769700819327, 30.0820581731469)"
2909,"c(-122.883889, 46.761806)"
6361,"c(-80.888611, 32.388611)"
607,"c(-76.9761444562418, 36.6471573277798)"
462,"c(-83.30694, 30.90694)"
6280,"c(-80.506402, 39.068035)"
943,"c(-80.726, 41.6332)"
3551,"c(-76.373049935245, 37.4555332031224)"
551,"c(-76.2853788745002, 36.7563423295237)"
608,"c(-76.4009380644133, 36.7623386538519)"
5772,"c(-76.00643, 37.23971)"
3629,"c(-110.513615, 34.938086)"
4269,"c(-110.513615, 34.938086)"
552,"c(-76.9490910668084, 37.3053808277685)"
1712,"c(-89.6554145196045, 32.6979882979862)"
504,"c(-83.8295, 34.246)"
1810,"c(-77.3275, 38.669722)"
864,"c(-81.914, 41.084)"
866,"c(-81.921, 41.113)"
668,"c(-117.604705926264, 33.6030012637735)"
6061,"c(-86.3902730828793, 35.692009787164)"
6094,"c(-90.617095, 30.349514)"
2213,"c(-76.128082, 38.563168)"
